,Title,Rating,Votes,Oscars
0,A remény rabjai,9.2,2654866.0,0.0
1,A keresztapa,9.2,1840178.0,3.0
2,A sötét lovag,9.0,2627375.0,2.0
3,A keresztapa II,9.0,1260796.0,6.0
4,Tizenkét dühös ember,9.0,783842.0,0.0
5,Schindler listája,8.9,1345043.0,7.0
6,A Gyűrűk Ura: A király visszatér,8.9,1830263.0,11.0
7,Ponyvaregény,8.8,2032104.0,1.0
8,A Gyűrűk Ura: A gyűrű szövetsége,8.8,1858383.0,4.0
9," A Jó, a Rossz és a Csúf",8.8,757179.0,0.0
10,Forrest Gump,8.8,2056648.0,6.0
11,Harcosok klubja,8.7,2100036.0,0.0
12,Eredet,8.7,2328426.0,4.0
13,A Gyűrűk Ura: A két torony,8.7,1652664.0,2.0
14,A Birodalom visszavág,8.7,1282609.0,1.0
15,Mátrix,8.7,1897811.0,4.0
16,Nagymenők,8.7,1150285.0,1.0
17,Száll a kakukk fészkére,8.6,1001988.0,5.0
18,Hetedik,8.6,1635352.0,0.0
19,A hét szamuráj,8.6,344906.0,0.0
